key,url,label
"paypalDonate","https://www.paypal.com/donate/?hosted_button_id=D4UMVJ4YRXDQE","PayPal donate"
"brickCampaign","https://www.fundraisingbrick.com/online-orders/ccd/","Brick campaign store"
"facilitiesBooking","https://forms.cloud.microsoft/r/Z7RnPBQuim","Facilities booking form"
"cleanGreenEstimate","https://forms.cloud.microsoft/r/Zc3eJk1sZj","Clean and Green estimate form"
"vendorRegistration","https://forms.gle/mfhVo1yEZbZwre5r8","Vendor registration"
"facebook","https://www.facebook.com/CoopCommunity","Facebook"
"instagram","https://www.instagram.com/ccd_group/","Instagram"
