title,slug,status,location,summary,heroImage,order
"Oasis @ 240","oasis-240","COMPLETED","240 S MONASTERY AVE","Once a poorly-maintained, illegally-dumped city lot, the Oasis @ 240 is now a reclaimed community space with native flowers, a rain-catchment system, seating, and original art.","/media/oasis-opening-aerial.jpg","1"
"Community Center for Change","community-center","IN PROGRESS","3932-3934 FREDERICK AVE","Redeveloping a 5,000 sq ft former shipping company into an innovation hub for the 21229 — with a co-op grocery, multimedia center, and retail vending stalls.","/media/mural-marketplace-1.jpg","2"
"Botanical Bus Stop","bus-stop","PLANNED","OLD FREDERICK RD & S MONASTERY AVE","Turning a constant eyesore and dumping target into a beautified, living transit space shaped by food access, beauty, and care.","/media/cleangreen-1.jpg","3"
"Little Memorial Garden","memorial-garden","IN PROGRESS","OLD FREDERICK RD & IRVING ST","In honor of Mr. Little, who tirelessly gardened this plot, CCD is restoring the garden to its former glory with raised beds, native plants, fruit trees, and an original mural.","/media/memorial-aerial.jpg","4"
